# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
1.4285710E+00        1.8049999E-04
8.9429994E-04        2.7708509E+00
1.4287760E+00        1.8169999E-04
1.0247000E-03        2.7716191E+00
1.4289800E+00        1.8259999E-04
2.2437000E-03        2.7723870E+00
1.4291840E+00        1.7790000E-04
4.4857999E-03        2.7731559E+00
1.4293880E+00        1.6570000E-04
6.6938000E-03        2.7739251E+00
1.4295930E+00        1.4779999E-04
7.7994000E-03        2.7746949E+00
1.4297971E+00        1.2539999E-04
7.6472997E-03        2.7754650E+00
1.4300010E+00        9.4399998E-05
6.9939997E-03        2.7762351E+00
1.4302059E+00        5.5999997E-05
6.6442001E-03        2.7770059E+00
1.4304110E+00        2.0300000E-05
6.6844998E-03        2.7777779E+00
1.4306149E+00        1.9000000E-06
6.6030002E-03        2.7785499E+00
1.4308200E+00        6.6999996E-06
6.0808999E-03        2.7793219E+00
1.4310250E+00        2.3600000E-05
5.4645995E-03        2.7800951E+00
1.4312290E+00        3.4599998E-05
5.3579998E-03        2.7808681E+00
1.4314340E+00        3.2699998E-05
5.8718002E-03        2.7816410E+00
1.4316390E+00        2.6700000E-05
6.4591998E-03        2.7824149E+00
1.4318440E+00        3.1699998E-05
6.4749997E-03        2.7831900E+00
1.4320490E+00        5.2200001E-05
5.8196001E-03        2.7839639E+00
1.4322540E+00        8.0300000E-05
4.8961998E-03        2.7847400E+00
1.4324590E+00        1.0400000E-04
4.0103998E-03        2.7855151E+00
1.4326650E+00        1.1540000E-04
3.0239001E-03        2.7862909E+00
1.4328700E+00        1.1110000E-04
1.6750999E-03        2.7870679E+00
1.4330750E+00        9.2999995E-05
5.5299999E-05        2.7878449E+00
1.4332809E+00        6.7900000E-05
-1.3303999E-03       2.7886219E+00
1.4334860E+00        4.3399999E-05
-2.0029999E-03       2.7894001E+00
1.4336920E+00        2.6000000E-05
-1.8792000E-03       2.7901790E+00
1.4338970E+00        1.8400000E-05
-1.2268999E-03       2.7909570E+00
